transaction_id,bank_id,customer_id,amount,timestamp,txn_date,txn_year,txn_month,txn_day,txn_hour
TXN_0027394,BANK_5,CUST_0114,758.45,2025-09-09 06:48:11,2025-09-09,2025,9,9,6
TXN_0027284,BANK_4,CUST_0092,387.08,2025-09-09 06:43:42,2025-09-09,2025,9,9,6
TXN_0026973,BANK_2,CUST_0043,6963.37,2025-09-09 06:41:34,2025-09-09,2025,9,9,6
TXN_0027049,BANK_2,CUST_0112,859.45,2025-09-09 06:41:26,2025-09-09,2025,9,9,6
TXN_0027036,BANK_2,CUST_0179,302.35,2025-09-09 06:40:53,2025-09-09,2025,9,9,6
TXN_0026962,BANK_2,CUST_0174,2520.65,2025-09-09 06:37:10,2025-09-09,2025,9,9,6
TXN_0027311,BANK_5,CUST_0175,1104.51,2025-09-09 06:33:00,2025-09-09,2025,9,9,6
TXN_0026933,BANK_1,CUST_0157,5302.4,2025-09-09 06:32:56,2025-09-09,2025,9,9,6
TXN_0027474,BANK_5,CUST_0126,976.29,2025-09-09 06:31:36,2025-09-09,2025,9,9,6
TXN_0027244,BANK_4,CUST_0036,4300.95,2025-09-09 06:29:15,2025-09-09,2025,9,9,6
TXN_0027189,BANK_3,CUST_0019,5780.01,2025-09-09 06:19:22,2025-09-09,2025,9,9,6
TXN_0027083,BANK_2,CUST_0097,4669.15,2025-09-09 06:18:19,2025-09-09,2025,9,9,6
TXN_0026915,BANK_1,CUST_0084,368.75,2025-09-09 06:16:43,2025-09-09,2025,9,9,6
TXN_0027170,BANK_3,CUST_0014,6943.21,2025-09-09 06:14:14,2025-09-09,2025,9,9,6
TXN_0027340,BANK_5,CUST_0074,2926.49,2025-09-09 06:12:50,2025-09-09,2025,9,9,6
TXN_0027221,BANK_3,CUST_0023,296.55,2025-09-09 06:10:39,2025-09-09,2025,9,9,6
TXN_0027343,BANK_5,CUST_0065,697.86,2025-09-09 06:08:49,2025-09-09,2025,9,9,6
TXN_0027099,BANK_2,CUST_0187,1303.52,2025-09-09 06:07:04,2025-09-09,2025,9,9,6
TXN_0027108,BANK_2,CUST_0138,75.68,2025-09-09 06:06:12,2025-09-09,2025,9,9,6
TXN_0027254,BANK_4,CUST_0151,460.6,2025-09-09 06:03:00,2025-09-09,2025,9,9,6
TXN_0026989,BANK_2,CUST_0034,2730.8,2025-09-09 05:56:35,2025-09-09,2025,9,9,5
TXN_0027455,BANK_5,CUST_0010,48.85,2025-09-09 05:53:05,2025-09-09,2025,9,9,5
TXN_0027366,BANK_5,CUST_0016,1631.02,2025-09-09 05:52:01,2025-09-09,2025,9,9,5
TXN_0027248,BANK_4,CUST_0042,449.94,2025-09-09 05:51:51,2025-09-09,2025,9,9,5
TXN_0027060,BANK_2,CUST_0134,5002.28,2025-09-09 05:48:08,2025-09-09,2025,9,9,5
